Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
16,3,3.0,2020 Segment
17,1,0.9853324555098606,2020 Segment
18,2,1.0068481802456333,2020 Segment
19,0,1.0189139663769424,2020 Segment
20,2,1.0271357062967645,2020 Segment
21,0,1.0276872065095084,2020 Segment
22,1,1.0197020070545424,2020 Segment
23,2,1.0077083830109075,2020 Segment
24,1,0.9872615813533798,2020 Segment
25,2,0.9615530044578655,2020 Segment
26,0,0.9301212799302121,2020 Segment
27,1,0.8925279856524568,2020 Segment
28,1,0.850875478558148,2020 Segment
29,1,0.803650303245572,2020 Segment
30,0,0.7532530787611158,2020 Segment
31,0,0.6986435173872145,2020 Segment
32,0,0.6416015444600944,2020 Segment
33,0,0.581957209656526,2020 Segment
34,1,0.5209492881252622,2020 Segment
35,0,0.4590702126931845,2020 Segment
36,1,0.39734609700116863,2020 Segment
37,0,0.3367039068855924,2020 Segment
38,0,0.27812648420084685,2020 Segment
39,0,0.22285735686083896,2020 Segment
40,0,0.17177946512084574,2020 Segment
41,2,0.12635610290331556,2020 Segment
42,0,0.08716642724753143,2020 Segment
43,2,0.055708116895210935,2020 Segment
44,1,0.03201316164365409,2020 Segment
