Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
15,2,2.0,First Segment
16,0,5.800059661926554,First Segment
17,9,5.868643345779915,First Segment
18,11,5.903838085170193,First Segment
19,5,5.885769891810028,First Segment
20,6,5.832955300985816,First Segment
21,5,5.711864586463534,First Segment
22,2,5.545874789526152,First Segment
23,6,5.3062635705066015,First Segment
24,6,5.013706670505556,First Segment
25,5,4.651824305247658,First Segment
26,2,4.239623261702093,First Segment
27,7,3.7744795747494635,First Segment
28,5,3.2765823231696345,First Segment
29,3,2.755834235823471,First Segment
30,1,2.2340604933033035,First Segment
31,0,1.730606042527711,First Segment
32,0,1.265668658993718,First Segment
33,2,0.8624820927779808,First Segment
34,0,0.5341022587847704,First Segment
35,0,0.49915129979834205,Second Segment
36,1,0.7164940302439788,Second Segment
37,1,0.9523211663957625,Second Segment
38,1,1.1623548277357827,Second Segment
39,2,1.2833670405000532,Second Segment
40,0,1.2666878200994631,Second Segment
41,2,1.1011252977720574,Second Segment
42,1,0.8230576567316064,Second Segment
43,0,0.5185556074863769,Second Segment
