Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
13,1,1.0,2020 Segment
14,2,2.251146382840936,2020 Segment
15,2,2.325075558836982,2020 Segment
16,0,2.3855294148626776,2020 Segment
17,1,2.4355803894404033,2020 Segment
18,5,2.460898129488399,2020 Segment
19,3,2.4758289900341666,2020 Segment
20,5,2.4755613189687935,2020 Segment
21,1,2.4527583385693745,2020 Segment
22,7,2.420961769800819,2020 Segment
23,1,2.3692215376995094,2020 Segment
24,0,2.3046426886380473,2020 Segment
25,3,2.226042833505275,2020 Segment
26,0,2.1326461509378376,2020 Segment
27,2,2.028999899195327,2020 Segment
28,1,1.9115007668046289,2020 Segment
29,3,1.7859465609773437,2020 Segment
30,1,1.6493623634423074,2020 Segment
31,2,1.5066573585637926,2020 Segment
32,2,1.356824772682451,2020 Segment
33,2,1.2037092744747255,2020 Segment
34,0,1.0482814579722586,2020 Segment
35,1,0.8938294768658963,2020 Segment
36,0,0.7429436048210647,2020 Segment
37,0,0.5985941183746704,2020 Segment
38,1,0.4645671596327787,2020 Segment
39,1,0.34328198290224066,2020 Segment
