Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
11,1,1.0,First Segment
12,1,2.744445399096662,First Segment
13,2,2.9440874161615405,First Segment
14,1,3.154226625575248,First Segment
15,4,3.36790194080546,First Segment
16,5,3.585572878492002,First Segment
17,2,3.8198249066982584,First Segment
18,2,4.050166216949009,First Segment
19,5,4.290111324633678,First Segment
20,5,4.534281318034559,First Segment
21,5,4.765964956415452,First Segment
22,4,5.004302449892812,First Segment
23,9,5.208476818600353,First Segment
24,4,5.400545876537265,First Segment
25,5,5.549666308034389,First Segment
26,4,5.651664207260424,First Segment
27,7,5.70010409458979,First Segment
28,7,5.671485585155011,First Segment
29,5,5.574871518441185,First Segment
30,8,5.3836505160834065,First Segment
31,8,5.115603533420753,First Segment
32,4,4.753435412283196,First Segment
33,2,4.320537712367425,First Segment
34,3,3.8160786244579867,First Segment
35,2,3.2678151094229264,First Segment
36,3,2.691839511184071,First Segment
37,2,2.118535101292835,First Segment
38,0,1.574582382823479,First Segment
39,1,1.7421425180653785,Second Segment
40,1,2.23134199330039,Second Segment
41,4,2.6096845569690856,Second Segment
42,4,2.772897606008712,Second Segment
43,2,2.631664519540891,Second Segment
44,1,2.2052846855343375,Second Segment
45,3,1.5923344943544464,Second Segment
46,0,0.9705073284591492,Second Segment
