Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
14,0,0.0,First Segment
15,1,3.5885975056811006,First Segment
16,3,3.664576980445851,First Segment
17,7,3.728221371950447,First Segment
18,8,3.7581573245980593,First Segment
19,4,3.764966119447493,First Segment
20,3,3.749256300200493,First Segment
21,2,3.6983540392121057,First Segment
22,4,3.631136825306392,First Segment
23,5,3.532630762755211,First Segment
24,1,3.413145531415765,First Segment
25,0,3.2708091652783935,First Segment
26,1,3.1057571885317117,First Segment
27,5,2.923631873140039,First Segment
28,2,2.7212891456815385,First Segment
29,3,2.5063492105559675,First Segment
30,3,2.276564096713699,First Segment
31,2,2.0390990601784154,First Segment
32,3,1.7943794542247815,First Segment
33,3,1.5486135605107165,First Segment
34,2,1.305141528810637,First Segment
35,0,1.0693785375055995,First Segment
36,1,4.583708574233469,Second Segment
37,3,5.1759694883817815,Second Segment
38,8,5.584140024233548,Second Segment
39,9,5.710251007664681,Second Segment
40,5,5.5308318284427,Second Segment
41,6,5.0196725205671555,Second Segment
42,4,4.24718197733867,Second Segment
43,3,3.2936158506876723,Second Segment
44,1,2.3053373045843557,Second Segment
45,0,1.4219307811563624,Second Segment
46,1,0.7788338714533722,Second Segment
47,0,0.46994080226841106,Second Segment
48,1,0.5418580267630944,Second Segment
