Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
11,1,1.0,First Segment
12,1,5.994209586510621,First Segment
13,1,6.594259156673296,First Segment
14,2,7.196878316035487,First Segment
15,8,7.831805855059493,First Segment
16,15,8.455040060413012,First Segment
17,9,9.043589335536979,First Segment
18,17,9.609143244563015,First Segment
19,14,10.064107214987729,First Segment
20,11,10.452770313324947,First Segment
21,13,10.674074934286168,First Segment
22,11,10.769007262103884,First Segment
23,9,10.657403735327705,First Segment
24,9,10.37438727077759,First Segment
25,5,9.873083428153848,First Segment
26,5,9.192975126811433,First Segment
27,9,8.324147252478895,First Segment
28,7,7.3195681587042145,First Segment
29,6,6.205005792727206,First Segment
30,5,5.045918772607621,First Segment
31,4,3.8965202701720614,First Segment
32,4,2.8212860824183394,First Segment
33,2,1.8864888571951894,First Segment
34,3,1.1350820235622905,First Segment
35,3,0.6204053210802272,First Segment
36,2,5.695734372645575,Second Segment
37,5,6.652323641364518,Second Segment
38,7,7.443561655731713,Second Segment
39,11,7.902714329500725,Second Segment
40,9,7.980707975712448,Second Segment
41,11,7.586725112348006,Second Segment
42,5,6.761052118272062,Second Segment
43,6,5.5791086502689495,Second Segment
44,1,4.1993993776094385,Second Segment
45,3,2.824940908322901,Second Segment
46,1,1.6656091676841243,Second Segment
