Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
9,1,1.0,First Segment
10,0,2.481363829460385,First Segment
11,1,2.7008325045387664,First Segment
12,1,2.930396349680155,First Segment
13,1,3.171584130902442,First Segment
14,0,3.4332221053143286,First Segment
15,5,3.6926813763864708,First Segment
16,5,3.9675519181592485,First Segment
17,5,4.231275670598471,First Segment
18,13,4.482300590706217,First Segment
19,3,4.7183488112784175,First Segment
20,5,4.905984135287639,First Segment
21,3,5.062350673525401,First Segment
22,8,5.14247507529285,First Segment
23,4,5.166492691015392,First Segment
24,4,5.095341346389233,First Segment
25,7,4.948059925236308,First Segment
26,5,4.6997803299057495,First Segment
27,2,4.371321524127367,First Segment
28,2,3.955233504503525,First Segment
29,4,3.477644814907265,First Segment
30,2,2.9487409099120043,First Segment
31,5,2.3996323525835948,First Segment
32,1,1.8546434965531802,First Segment
33,0,0.7479321045020555,Second Segment
34,1,0.936270817279933,Second Segment
35,1,1.1291205650003064,Second Segment
36,0,1.307644912611181,Second Segment
37,0,1.4482143590084746,Second Segment
38,3,1.5277709249543676,Second Segment
39,4,1.5287512113169726,Second Segment
40,2,1.4408788771479522,Second Segment
41,0,1.2714333339906005,Second Segment
42,1,1.0357099975377935,Second Segment
43,0,0.7689539827445628,Second Segment
44,0,0.5081821714989161,Second Segment
45,0,0.29404878027467873,Second Segment
46,1,0.15951712660289274,Second Segment
