Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
13,1,1.0,First Segment
14,1,1.9429412628417673,First Segment
15,3,2.010270381838332,First Segment
16,2,2.06263877383045,First Segment
17,2,2.1112732192989974,First Segment
18,0,2.151892572079017,First Segment
19,0,2.179481927636722,First Segment
20,1,2.2041838093025845,First Segment
21,5,2.213301461863523,First Segment
22,4,2.2141110719458723,First Segment
23,3,2.204316269079179,First Segment
24,2,2.1778712774064317,First Segment
25,1,2.141741464981685,First Segment
26,3,2.085122575645215,First Segment
27,3,2.0158152284144393,First Segment
28,4,1.9248439701793814,First Segment
29,0,1.8181539900177057,First Segment
30,2,1.6908221236604675,First Segment
31,2,1.5476269223311903,First Segment
32,0,1.3878182815844724,First Segment
33,1,1.216568602156812,First Segment
34,0,1.0368600441138156,First Segment
35,0,1.3776042032101756,Second Segment
36,0,1.7268917328844822,Second Segment
37,4,2.0748909483307756,Second Segment
38,1,2.3990916732033867,Second Segment
39,1,2.6454192693543064,Second Segment
40,3,2.7913587788787595,Second Segment
41,7,2.7905051441743467,Second Segment
42,4,2.642985441847685,Second Segment
43,1,2.341470781682901,Second Segment
44,0,1.927959899649835,Second Segment
45,1,1.4477735427562521,Second Segment
46,1,0.973411370936617,Second Segment
