Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
4,1,1.0,2020 Segment
5,0,0.8301499736289131,2020 Segment
6,0,0.9923228703189024,2020 Segment
7,0,1.1585512779954579,2020 Segment
8,0,1.328691021150676,2020 Segment
9,0,1.5018560913986096,2020 Segment
10,0,1.6762423103491058,2020 Segment
11,0,1.8498806485754642,2020 Segment
12,1,2.0208704114328313,2020 Segment
13,2,2.1874983991504067,2020 Segment
14,0,2.345797288833463,2020 Segment
15,1,2.4975051631867657,2020 Segment
16,5,2.635803120793554,2020 Segment
17,11,2.7610798832727816,2020 Segment
18,5,2.8771447509755,2020 Segment
19,8,2.968844262239692,2020 Segment
20,4,3.0472141988804538,2020 Segment
21,4,3.110334085090628,2020 Segment
22,3,3.1452970992370908,2020 Segment
23,4,3.169865167822131,2020 Segment
24,1,3.170072908985169,2020 Segment
25,1,3.146659728314745,2020 Segment
26,1,3.110021009892044,2020 Segment
27,2,3.0457746185092915,2020 Segment
28,3,2.9673925566521433,2020 Segment
29,3,2.866310406616222,2020 Segment
30,1,2.747758960008518,2020 Segment
31,0,2.611172593237413,2020 Segment
32,3,2.456480234780983,2020 Segment
33,0,2.2874548238644223,2020 Segment
34,1,2.1025930180661305,2020 Segment
35,2,1.907215492878123,2020 Segment
36,1,1.701139594855377,2020 Segment
37,1,1.489906138858757,2020 Segment
38,2,1.275814854753449,2020 Segment
39,2,1.064326894245724,2020 Segment
40,1,0.8600025653736054,2020 Segment
41,0,0.6681148167587168,2020 Segment
42,2,0.4943460246267648,2020 Segment
