Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
12,1,1.0,2020 Segment
13,2,5.010223371320507,2020 Segment
14,1,5.183353300654481,2020 Segment
15,7,5.324091142509232,2020 Segment
16,4,5.4561921106919655,2020 Segment
17,9,5.5443680915995515,2020 Segment
18,6,5.612185933586048,2020 Segment
19,5,5.648050337033382,2020 Segment
20,7,5.639703581142598,2020 Segment
21,8,5.604380510728575,2020 Segment
22,7,5.5131911127063375,2020 Segment
23,10,5.388656964726792,2020 Segment
24,6,5.2050150787345615,2020 Segment
25,4,4.979742485562824,2020 Segment
26,0,4.6976712729430545,2020 Segment
27,4,4.371468667845392,2020 Segment
28,1,3.996987011819215,2020 Segment
29,4,3.5861203345982915,2020 Segment
30,3,3.1439457662672936,2020 Segment
31,1,2.6845596100520197,2020 Segment
32,3,2.2202695973414848,2020 Segment
33,2,1.7668906653829026,2020 Segment
34,2,1.3417263994728046,2020 Segment
35,1,0.9586265216119045,2020 Segment
36,2,0.636319752975055,2020 Segment
37,0,0.3814839301822701,2020 Segment
38,1,0.20934262638607493,2020 Segment
39,0,0.12010497523638719,2020 Segment
40,2,0.116576443066009,2020 Segment
41,0,0.1986401111273608,2020 Segment
42,1,0.3682860540903903,2020 Segment
43,0,0.6372420843554778,2020 Segment
44,1,1.0377185864154796,2020 Segment
