Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
11,1,1.0,First Segment
12,1,2.301789006412747,First Segment
13,2,2.4204853300425384,First Segment
14,0,2.5402859061902774,First Segment
15,2,2.643095888090272,First Segment
16,5,2.744658401605104,First Segment
17,7,2.82164408895121,First Segment
18,2,2.882221413019721,First Segment
19,5,2.911511920711078,First Segment
20,4,2.9085614752175033,First Segment
21,1,2.8674725073123355,First Segment
22,2,2.78257573264397,First Segment
23,1,2.6553379125939927,First Segment
24,1,2.481545622490991,First Segment
25,2,2.268097678899366,First Segment
26,1,2.0169672339189475,First Segment
27,6,1.739395373742461,First Segment
28,0,1.4447711219450383,First Segment
29,1,1.1477667286687847,First Segment
30,0,0.8622539857295237,First Segment
31,1,0.6044779335407711,First Segment
32,1,0.38671789456967076,First Segment
33,1,0.2228827685070911,First Segment
34,0,0.1195952247116665,First Segment
35,1,1.4205880753521853,Second Segment
36,3,1.775730934504665,Second Segment
37,1,2.056892736921114,Second Segment
38,3,2.2075575611311535,Second Segment
39,1,2.167402938278485,Second Segment
40,3,1.9329756427045481,Second Segment
41,1,1.5401516045171633,Second Segment
42,1,1.0724520064071044,Second Segment
43,1,0.6406678136991957,Second Segment
