Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
13,1,1.0,First Segment
14,0,5.039673191779038,First Segment
15,2,5.398111389121354,First Segment
16,7,5.761255022689703,First Segment
17,11,6.074270157768282,First Segment
18,15,6.36974579145928,First Segment
19,8,6.586655593890171,First Segment
20,3,6.744542383514855,First Segment
21,3,6.799127409548021,First Segment
22,7,6.756285222628009,First Segment
23,7,6.592926632583328,First Segment
24,4,6.311125909561497,First Segment
25,4,5.907930901279016,First Segment
26,8,5.3938612763010525,First Segment
27,6,4.783570604589741,First Segment
28,3,4.102589764577431,First Segment
29,2,3.3805765871591547,First Segment
30,1,2.6544876387526557,First Segment
31,2,1.9645005856303328,First Segment
32,3,1.3463590364903553,First Segment
33,2,0.8407400910516571,First Segment
34,2,0.4694497268690725,First Segment
35,2,0.25621291558985604,First Segment
36,1,1.0561548704475854,Second Segment
37,1,1.3296960381848635,Second Segment
38,2,1.613346418472105,Second Segment
39,1,1.8847420227284601,Second Segment
40,2,2.1125196156928325,Second Segment
41,2,2.269683001640118,Second Segment
42,5,2.3264932070700297,Second Segment
43,2,2.268532782720115,Second Segment
44,0,2.0916343688597863,Second Segment
45,2,1.807703345102226,Second Segment
46,2,1.4503932326589108,Second Segment
