Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
1,1,1.0,First Segment
2,0,1.5291722230042286,First Segment
3,0,2.1737441664193558,First Segment
4,1,2.7067461319706787,First Segment
5,1,3.202059248493902,First Segment
6,0,3.7021340252617243,First Segment
7,1,4.226778714040549,First Segment
8,0,4.796120264673306,First Segment
9,0,5.414610219085709,First Segment
10,0,6.10147870493963,First Segment
11,1,6.8735906657890595,First Segment
12,1,7.699260999318106,First Segment
13,3,8.603822768038256,First Segment
14,4,9.60263263192482,First Segment
15,5,10.635677962482688,First Segment
16,22,11.753777261432035,First Segment
17,25,12.868260663216049,First Segment
18,28,13.992554591261595,First Segment
19,24,15.092728549749069,First Segment
20,15,16.071959503439388,First Segment
21,18,16.979637163040422,First Segment
22,15,17.6521122883847,First Segment
23,18,18.16138301526135,First Segment
24,14,18.351079605732593,First Segment
25,12,18.286573070640202,First Segment
26,12,17.856555489407157,First Segment
27,21,17.124668875986202,First Segment
28,16,16.038596628200082,First Segment
29,18,14.674690156314682,First Segment
30,14,13.040642851651512,First Segment
31,7,11.232840992843535,First Segment
32,8,9.31101871184029,First Segment
33,7,7.381511217554305,First Segment
34,7,5.539388058487759,First Segment
35,7,3.8754948646706,First Segment
36,9,7.990791142271689,Second Segment
37,9,10.495241613552992,Second Segment
38,13,12.934248885074396,Second Segment
39,15,14.818882511480354,Second Segment
40,15,15.751664119212649,Second Segment
41,17,15.333675512521893,Second Segment
42,12,13.598720856695593,Second Segment
43,15,10.778874776788939,Second Segment
44,6,7.49647583174459,Second Segment
45,0,4.4791683610779955,Second Segment
46,4,2.4364464024756103,Second Segment
47,0,1.8353346873673217,Second Segment
48,2,2.902594330566785,Second Segment
