Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
2,1,1,First Segment
3,1,3.742302496,First Segment
4,0,4.781856631,First Segment
5,0,5.827153065,First Segment
6,0,6.942935509,First Segment
7,0,8.176170663,First Segment
8,0,9.558811873,First Segment
9,1,11.11764219,First Segment
10,0,12.89398363,First Segment
11,0,14.86952681,First Segment
12,3,17.05690261,First Segment
13,5,19.51005344,First Segment
14,5,22.09941075,First Segment
15,15,24.92047219,First Segment
16,22,27.82928994,First Segment
17,39,30.72684915,First Segment
18,56,33.69218108,First Segment
19,50,36.32886443,First Segment
20,55,38.8447646,First Segment
21,58,40.81363763,First Segment
22,47,42.34730458,First Segment
23,42,43.15390976,First Segment
24,49,43.25689405,First Segment
25,30,42.51726236,First Segment
26,30,40.94543105,First Segment
27,32,38.54184397,First Segment
28,35,35.37731773,First Segment
29,33,31.56539237,First Segment
30,18,27.2702345,First Segment
31,26,22.68988066,First Segment
32,14,18.05368325,First Segment
33,14,13.6099579,First Segment
34,10,9.576596523,First Segment
35,8,6.192863536,First Segment
36,7,10.45400532,Second Segment
37,15,12.07446714,Second Segment
38,9,13.48032146,Second Segment
39,21,14.50212922,Second Segment
40,14,15.01933427,Second Segment
41,20,14.90001936,Second Segment
42,14,14.11193687,Second Segment
43,5,12.68418461,Second Segment
44,7,10.72284337,Second Segment
45,9,8.442971178,Second Segment
46,12,6.084521135,Second Segment
47,5,3.932265851,Second Segment
48,2,2.2479776,Second Segment
49,2,1.222660084,Second Segment
