Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
8,1,1,First Segment
9,0,13.43466487,First Segment
10,0,15.74707851,First Segment
11,1,18.39421635,First Segment
12,7,21.40273272,First Segment
13,7,24.85594015,First Segment
14,21,28.55111857,First Segment
15,23,32.59739348,First Segment
16,35,37.01521181,First Segment
17,62,41.49205458,First Segment
18,70,46.21399639,First Segment
19,64,50.67277061,First Segment
20,65,55.06129884,First Segment
21,69,58.88903867,First Segment
22,60,62.10885127,First Segment
23,87,64.52106522,First Segment
24,53,65.82394106,First Segment
25,61,66.06996996,First Segment
26,43,64.91988426,First Segment
27,56,62.58797037,First Segment
28,48,58.86764973,First Segment
29,48,54.07780886,First Segment
30,42,48.23051609,First Segment
31,46,41.70512542,First Segment
32,45,34.722975,First Segment
33,40,27.68371173,First Segment
34,28,20.91926568,First Segment
35,16,14.79484154,First Segment
36,16,14.56495425,Second Segment
37,23,19.87911414,Second Segment
38,22,25.74380079,Second Segment
39,25,31.32824241,Second Segment
40,38,35.88193692,Second Segment
41,40,38.23376267,Second Segment
42,47,37.92877338,Second Segment
43,36,34.52566166,Second Segment
44,17,28.60808448,Second Segment
45,11,21.14065678,Second Segment
46,30,13.64332346,Second Segment
47,8,7.622825125,Second Segment
48,3,4.383593743,Second Segment
