Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
11,2,2.0,First Segment
12,2,10.560707305153294,First Segment
13,4,11.891095115080617,First Segment
14,1,13.300292315335852,First Segment
15,10,14.79365865675021,First Segment
16,20,16.37717400842166,First Segment
17,25,17.909725186697585,First Segment
18,24,19.498501203837407,First Segment
19,20,20.929277702896826,First Segment
20,25,22.257146435986527,First Segment
21,30,23.352276625188267,First Segment
22,28,24.154852925265374,First Segment
23,38,24.63299512925326,First Segment
24,21,24.67044789000977,First Segment
25,20,24.305274516198494,First Segment
26,13,23.431435985660244,First Segment
27,23,22.13516717931992,First Segment
28,21,20.371889114789326,First Segment
29,14,18.261082200945168,First Segment
30,8,15.841431117949469,First Segment
31,17,13.254787918244176,First Segment
32,10,10.60797644764699,First Segment
33,10,8.051078960041593,First Segment
34,11,5.7134108388604545,First Segment
35,7,3.725968929142823,First Segment
36,7,7.884751260076712,Second Segment
37,9,10.444305326914673,Second Segment
38,15,13.045800439978962,Second Segment
39,10,15.36149503698391,Second Segment
40,16,16.93353877644347,Second Segment
41,25,17.40178482086776,Second Segment
42,21,16.56110151381131,Second Segment
43,17,14.426095772365443,Second Segment
44,3,11.370023749576035,Second Segment
45,3,7.921072730018977,Second Segment
46,6,4.788615007421299,Second Segment
47,3,2.5949120557091874,Second Segment
48,1,1.7835200592959382,Second Segment
49,1,2.5731149628048797,Second Segment
50,2,5.086487057087993,Second Segment
