Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
11,1,1.0,First Segment
12,1,3.231891287002078,First Segment
13,0,3.425233411253128,First Segment
14,1,3.635427246302406,First Segment
15,0,3.837960966032572,First Segment
16,7,4.042963984808871,First Segment
17,2,4.241902723593576,First Segment
18,7,4.420268876456674,First Segment
19,9,4.591907278628483,First Segment
20,6,4.720278022023159,First Segment
21,3,4.8259466075894295,First Segment
22,8,4.87466828430906,First Segment
23,11,4.876448020918829,First Segment
24,3,4.810782596784932,First Segment
25,3,4.67943989582588,First Segment
26,3,4.47529222522688,First Segment
27,4,4.199775243656546,First Segment
28,3,3.8569994869664868,First Segment
29,1,3.4548395318616514,First Segment
30,1,3.0066353896694693,First Segment
31,4,2.5290874193237727,First Segment
32,1,2.0427821191110525,First Segment
33,2,1.5696277476985188,First Segment
34,2,1.1342213751936896,First Segment
35,2,0.7565951543756881,First Segment
36,1,2.3674464349601863,Second Segment
37,2,2.796164681937327,Second Segment
38,3,3.148260106818057,Second Segment
39,4,3.398251272406867,Second Segment
40,3,3.480078137429331,Second Segment
41,4,3.3866567969580785,Second Segment
42,6,3.0960884461042326,Second Segment
43,3,2.6487631024007214,Second Segment
44,0,2.0871491630494177,Second Segment
45,0,1.4931402124187514,Second Segment
46,1,0.9473707318409481,Second Segment
