Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
10,1,1.0,First Segment
11,0,2.634795026064939,First Segment
12,0,2.8529213459541722,First Segment
13,2,3.075446950698584,First Segment
14,2,3.3150714913543204,First Segment
15,7,3.5676020121338787,First Segment
16,2,3.822683204500528,First Segment
17,4,4.0989415372337135,First Segment
18,3,4.366838736778007,First Segment
19,4,4.637364368256023,First Segment
20,9,4.904039717784542,First Segment
21,6,5.139285741873408,First Segment
22,5,5.362417421894683,First Segment
23,6,5.528613465742993,First Segment
24,6,5.658222674942635,First Segment
25,5,5.711015430325801,First Segment
26,5,5.699820989064946,First Segment
27,7,5.597897118686831,First Segment
28,4,5.413139117298428,First Segment
29,6,5.134202246653388,First Segment
30,6,4.771118520467894,First Segment
31,6,4.326956082076563,First Segment
32,3,3.819453934490525,First Segment
33,0,3.2643230424671117,First Segment
34,3,2.687111661006213,First Segment
35,1,2.1131343495841293,First Segment
36,0,0.9948970900403822,Second Segment
37,1,1.2068779887787286,Second Segment
38,2,1.419054837921749,Second Segment
39,1,1.602681208219792,Second Segment
40,0,1.744873138718134,Second Segment
41,5,1.8130323989656176,Second Segment
42,2,1.8023253079443577,Second Segment
43,2,1.6967269438567314,Second Segment
44,0,1.5083037786475018,Second Segment
