Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
11,3,3.0,First Segment
12,1,8.249326439633037,First Segment
13,8,9.106618993255992,First Segment
14,4,10.009849846214124,First Segment
15,11,10.950328605487456,First Segment
16,12,11.96701967714857,First Segment
17,12,12.944533405241629,First Segment
18,14,13.959257833294501,First Segment
19,13,14.919228728060745,First Segment
20,26,15.78744823905501,First Segment
21,22,16.57441033659302,First Segment
22,25,17.152013058819136,First Segment
23,24,17.57984944170272,First Segment
24,9,17.708823122191575,First Segment
25,8,17.61327877412623,First Segment
26,19,17.171208794668587,First Segment
27,13,16.46020473198638,First Segment
28,15,15.412207140149519,First Segment
29,12,14.112645140579048,First Segment
30,11,12.554665293735411,First Segment
31,14,10.836048043534447,First Segment
32,10,9.00538433491937,First Segment
33,11,7.165348547093231,First Segment
34,4,5.401126121813604,First Segment
35,5,5.0379825824052205,Second Segment
36,7,5.556715454721655,Second Segment
37,6,6.062103696582653,Second Segment
38,6,6.506333889052769,Second Segment
39,7,6.904839365299267,Second Segment
40,8,7.189946268974609,Second Segment
41,8,7.385366225550001,Second Segment
42,8,7.426286999569527,Second Segment
43,5,7.339871633867915,Second Segment
44,1,7.079226196943637,Second Segment
45,12,6.677905918404633,Second Segment
46,7,6.117757609571527,Second Segment
