Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
2,1,1.0,First Segment
3,0,1.646716828832509,First Segment
4,0,2.0369955863416886,First Segment
5,0,2.396913006029642,First Segment
6,0,2.7615365696522023,First Segment
7,0,3.1460649261763116,First Segment
8,0,3.5684797602663885,First Segment
9,0,4.0352286733252924,First Segment
10,0,4.552083160926795,First Segment
11,0,5.142675797064246,First Segment
12,2,5.787732860662295,First Segment
13,1,6.487800890396969,First Segment
14,2,7.272356001226036,First Segment
15,4,8.088864440064363,First Segment
16,9,8.967169833157236,First Segment
17,8,9.865517313577271,First Segment
18,12,10.745230049174907,First Segment
19,16,11.634337641497027,First Segment
20,26,12.409882445635986,First Segment
21,17,13.132523487950834,First Segment
22,21,13.672038195223678,First Segment
23,20,14.063007822949999,First Segment
24,10,14.212522966055957,First Segment
25,11,14.132149312350549,First Segment
26,11,13.773540725494911,First Segment
27,12,13.148273744531366,First Segment
28,11,12.25127607309139,First Segment
29,9,11.116587411805455,First Segment
30,8,9.778358269137215,First Segment
31,8,8.301957051837718,First Segment
32,7,6.7545025053345285,First Segment
33,6,5.220249272516696,First Segment
34,2,3.787074291808949,First Segment
35,3,2.5306076767161585,First Segment
36,5,4.188649862188981,Second Segment
37,4,4.840329644669055,Second Segment
38,4,5.3979536099391225,Second Segment
39,4,5.8009005411609,Second Segment
40,10,5.9910810988130265,Second Segment
41,10,5.924367701375047,Second Segment
42,1,5.581460707661165,Second Segment
43,4,4.98366062686631,Second Segment
44,2,4.172859449685006,Second Segment
45,6,3.244089901954851,Second Segment
46,3,2.29736813339116,Second Segment
47,1,1.4512659511309494,Second Segment
48,1,0.8117349213634952,Second Segment
