Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
12,1,1.0,First Segment
13,1,4.710972881843382,First Segment
14,2,5.223129631633462,First Segment
15,3,5.760432657462154,First Segment
16,6,6.321168135628795,First Segment
17,9,6.907128354582582,First Segment
18,8,7.465338307615696,First Segment
19,10,8.032497403107698,First Segment
20,6,8.526177049883287,First Segment
21,17,8.972538803746545,First Segment
22,16,9.311626385054936,First Segment
23,16,9.535164933363262,First Segment
24,6,9.616404024229254,First Segment
25,7,9.529450209647209,First Segment
26,6,9.27458275002948,First Segment
27,7,8.830925797564674,First Segment
28,7,8.220198891472279,First Segment
29,0,7.4443038405813695,First Segment
30,7,6.542432699346705,First Segment
31,6,5.545676050832611,First Segment
32,3,4.507142125309315,First Segment
33,5,3.4779207538962282,First Segment
34,6,2.5181736355578437,First Segment
35,3,1.6798192551513864,First Segment
36,4,3.67982390196849,Second Segment
37,1,4.36835727038266,Second Segment
38,7,4.972357610635953,Second Segment
39,2,5.405644042174657,Second Segment
40,6,5.600828434179988,Second Segment
41,9,5.498610188838001,Second Segment
42,10,5.094512331584582,Second Segment
43,1,4.405268345833406,Second Segment
44,1,3.5244670616558835,Second Segment
45,2,2.5577433158932195,Second Segment
46,2,1.6509170402471511,Second Segment
