Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
14,2,2.0,First Segment
15,5,6.299958441460127,First Segment
16,4,6.7449881475489235,First Segment
17,8,7.191829202197134,First Segment
18,3,7.629147651233097,First Segment
19,12,8.075173512771627,First Segment
20,14,8.46642584204011,First Segment
21,12,8.846796406788513,First Segment
22,12,9.149075523245074,First Segment
23,7,9.386517861870416,First Segment
24,9,9.527728758819705,First Segment
25,2,9.551835087766193,First Segment
26,9,9.458052108822955,First Segment
27,10,9.213134992653806,First Segment
28,6,8.836591444438227,First Segment
29,12,8.303463768729216,First Segment
30,7,7.646285365798235,First Segment
31,12,6.86202880778049,First Segment
32,5,5.991975090697338,First Segment
33,4,5.058251841231879,First Segment
34,3,4.10739174594994,First Segment
35,5,4.2549897079187815,Second Segment
36,7,5.022797096841771,Second Segment
37,6,5.693768417293398,Second Segment
38,4,6.235998160139474,Second Segment
39,2,6.54004875582433,Second Segment
40,10,6.578161529006252,Second Segment
41,4,6.28988737898203,Second Segment
42,8,5.708747791250346,Second Segment
43,9,4.858303313496322,Second Segment
44,3,3.84767269242559,Second Segment
45,0,2.7828949695451684,Second Segment
46,1,1.8034592954760456,Second Segment
