Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
11,1,1.0,First Segment
12,1,6.133743857737159,First Segment
13,10,6.902530265138637,First Segment
14,4,7.761161630852577,First Segment
15,6,8.663928379422657,First Segment
16,10,9.657992702669596,First Segment
17,8,10.687408045574628,First Segment
18,15,11.710624901551128,First Segment
19,12,12.777526654565762,First Segment
20,17,13.73894997689996,First Segment
21,19,14.665712012570609,First Segment
22,20,15.421760090608956,First Segment
23,16,16.023132480738496,First Segment
24,23,16.38729534922234,First Segment
25,7,16.48944960956473,First Segment
26,14,16.299923981498637,First Segment
27,13,15.786522147521282,First Segment
28,16,14.964579459534349,First Segment
29,7,13.829572250925253,First Segment
30,12,12.433387405404915,First Segment
31,20,10.818712247618521,First Segment
32,11,9.067427353503717,First Segment
33,7,7.262968566344853,First Segment
34,5,5.507252078954366,First Segment
35,3,3.8961729214615275,First Segment
36,7,8.103600724612761,Second Segment
37,5,9.540528709646878,Second Segment
38,8,10.792762074368227,Second Segment
39,16,11.603774626513882,Second Segment
40,14,11.90861882106583,Second Segment
41,13,11.527725544527698,Second Segment
42,13,10.511908407294584,Second Segment
43,8,8.908492538766893,Second Segment
44,4,6.93732279405009,Second Segment
45,3,4.864835039354716,Second Segment
46,3,3.0069126877783674,Second Segment
